"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
657.6,39.19,4,1.5,9.4,3.2
581,150.45,3,1.7,4.8,3.3
640.9,291.1,4,1,5.8,3.3
639.9,5.5,5,1.55,6.5,6.7
815.2,0.63,5,1.5,10.6,3.3
641.5,9.14,3,1.05,7.9,6.6
711.6,15,4,1,5.5,6.3
600.6,473.5,3,1.3,6,3.6
784,33.68,4,1,10.8,1.7
707.6,0.29,5,1.8,7.9,6.5
690,0.93,5,1.55,11.6,4.2
578.3,122.22,3,1.7,10,2.4
737.5,0.82,5,1.75,10,3.8
631.4,148.41,2,1,4.8,2.3
720.4,4.8,5,1.45,8.9,5.5
620.1,12.33,3,1.75,5,6.8
628.3,47.9,4,1.5,6.5,6.5
600,11.56,5,1.65,8.4,5.3
623.9,12.65,4,1.85,6,4.1
795.8,1.77,4,1.65,10.5,2.3
654.3,49.29,5,1.75,3.9,6.8
629.2,4.52,3,1.5,7,6.2
763,2.83,5,1.6,9.3,5.2
673.9,117.81,4,1.3,7.1,6.3
579.1,65.93,3,1.45,8.4,4.3
657.2,3437.24,2,1,7.7,5.1
769.3,3.13,6,2.3,10.2,4
729.2,1.89,5,1.65,10.3,4.2
673.2,3737.75,2,1,5.6,1.1
680,30.14,4,1.6,9.3,4.3
602.9,1148.11,5,1.7,5.9,1.9
674.8,835.65,3,1.5,6.3,1.1
630.7,3.04,3,1.1,10,3.6
628.7,9.03,3,1,10.1,5.7
685.5,2.31,5,1.3,8.7,5.9
725,6.03,5,1.85,9.3,5.8
666,26.21,5,1.35,5.7,6.9
639.8,6.17,4,1,9.7,4.9
716.3,7.87,6,1.45,6.4,3.9
750.3,11.49,4,1.4,13.2,3
623.7,50.52,4,1.1,4.2,6.6
724.7,31.65,6,1.3,6.7,2.7
582.2,28.57,3,1.05,7.6,6
663.4,77.32,5,1.1,4,6.7
673.4,8.96,4,1.65,5.3,6.5
684.2,73.83,5,1.4,7.9,4.7
627.1,70.79,6,1.5,8.3,6.1
543.6,60.17,3,1.2,7.6,6.4
680.4,23.72,5,1.35,5.5,6.8
767.7,9.52,6,1.55,7.1,6.4
656.9,23.58,5,1.2,6.6,5.8
574.3,171.82,3,1,5,3.2
622.6,53.66,4,1,8.8,3.2
816.9,8.11,6,1.55,12.1,2.8
669.5,11.9,5,1,6.5,3.3
686.9,75.92,6,1.7,6.3,3.4
763.9,1.79,5,1.75,11.1,4.4
593.1,310.15,4,1.55,4.5,4.2
609.5,6.74,3,1.3,5.4,6.6
824.1,0.45,5,1.55,9.3,4.8
705.2,1.26,5,1.75,6.5,5.1
720.2,31.35,3,1.5,7.7,2.3
754.8,1.79,5,1.4,10.7,4.3
606.8,95.18,4,1.55,4.9,5.1
655,16.39,6,1.6,4.8,6.7
769.4,1.64,5,1.45,12.4,1.7
657.9,17.03,5,1.7,8.4,5.9
705.5,5.49,5,1.35,5.9,6.5
541.7,4337.68,4,1.6,4.6,2.3
629.6,68.55,5,1.75,9.3,6.8
757.2,4.92,4,1,11.7,3.7
664.9,2.5,5,1,5.7,6.8
761.9,6.94,3,1.25,8.6,4.3
714.2,1.48,3,1,9.2,2.2
768.1,5.02,4,1,6.4,4.7
666.1,63.72,6,1.65,6.5,4.9
641.3,4.76,5,1.65,11.8,2.5
592.6,81.49,5,1.85,5.4,5.9
679.1,42.3,7,1.6,4.6,6.1
617.6,19.07,3,1.65,6.5,6.4
726.6,1.16,5,1.85,12.4,2.1
581.1,51.16,4,1.65,3.8,6.2
597.5,14.25,4,1.55,7.5,4.7
613.3,12.34,5,1.8,5.6,6.4
732.5,7.81,5,1.7,11.5,3.7
583.8,9.02,5,1.85,6.5,6.7
635.4,144.82,5,1.4,4,5.2
585.9,153.19,4,1,5.5,6.5
578.5,74.58,5,1.75,4.7,6.5
616.2,16.93,3,1,4.3,6.6
625.5,49.07,5,1.6,7.7,5.9
578.9,1514.57,3,1,4.3,3
700.9,3.44,4,1.25,7.3,4.4
629.9,632.11,5,1.25,6.2,3.2
811.9,2.66,6,1.75,10.3,4.8
706.9,2.11,5,1.15,8.6,5.3
697,28,5,1.1,6.2,5.5
653.1,10.36,5,1.05,5.4,6.7
654,7.92,4,1.6,7.3,6.4
600,91.07,6,1.25,3.9,6.7
626.2,14.91,6,1.55,6.6,6.4
635.3,15.09,4,1,5.8,5.8
683.8,1.3,5,1,5.6,6.4
782.2,1.25,6,1.85,7.4,5.5
780,4.2,6,1.65,11.6,2.4
828.5,0.72,7,1.1,7.6,3.7
689.5,19.57,5,1,4.9,6.6
692.8,12,4,1.35,7.4,4.9
716.2,1.48,5,1.8,9.6,3.9
616.5,17.48,6,1.6,9.8,5.2
623.3,123.9,4,1.05,6.2,3.1
622.8,2.48,3,1.35,11.4,5.4
634.6,9.83,4,1.55,8.1,5.7
841.9,0.84,7,1.4,9.7,3.8
829,1.12,6,1.35,8.4,5.1
695.4,17.92,7,1.25,5.3,6.6
576.2,149.26,4,1.45,4.2,6.7
773.7,0.64,6,1.45,6.8,4.2
658.9,29.28,5,1.15,9.4,2.4
725.1,6.91,5,1.9,11.6,3.1
729.6,3.54,6,1.75,11,3.9
624.6,32.7,4,1.9,9,2
694.2,3.97,5,1.75,9.8,2.4
771.6,1.93,5,1.2,9.5,4
794.2,4.31,6,1.75,11.8,3.6
720.5,0.33,4,1.1,9,5.6
738,4.95,4,1.4,8,5
703.2,4.45,6,1.25,6.9,6.1
671.3,0.9,4,1,10.9,2.5
666,14.05,5,1,8.9,3.5
733.8,3.91,6,1.35,8.1,5.9
667,0.48,7,1.55,10,4.1
608.4,4.53,6,1.75,9.2,4.8
688,9.06,6,1.4,5.4,6.7
770.1,1.29,8,1.35,10.1,2.3
732.7,0.95,7,1.75,12.5,4.6
548.5,79.19,5,1.65,4.7,4.4
686.3,4.17,5,1.5,9,4.8
604.3,5.56,4,1.6,7,5.6
666,10.95,5,1.45,6.6,6.4
732.9,1.91,7,1.65,9.1,2.8
636.2,1.95,4,1.45,9.9,2.8
647,10.93,5,1.55,8.2,3.5
646.3,2.14,5,1.6,6.8,6.5
747.3,0.32,4,1.25,7.4,5.7
750.3,1.16,6,2.05,8.7,5.7
759.8,0.31,5,1.85,10.5,5
688.1,3.2,5,1.25,5.1,6.7
601.4,51.13,3,1,6.4,6.9
794.5,2.02,5,1.6,9.6,5.3
578.8,77.94,3,1,6.8,4.6
693.5,1.49,5,1.4,9.3,4.8
579.6,8971.85,2,1.2,4.7,1.7
608.7,13.42,5,1.6,9.7,5.9
651.8,48.7,5,1.15,5.1,3
616.4,11.64,5,1.3,7.9,6.1
642.2,16.61,4,1.05,6.1,6.6
733.8,2.89,6,1.15,9.7,5.4
623.3,29.46,6,1.6,6.4,6
718,2.57,4,1.45,7,6.4
589.1,258.02,5,1.2,5.9,3.8
798.6,0.27,6,1.65,8.2,5.3
646.1,105.92,4,1.4,7.6,5.4
725.9,0.77,6,1.75,11.5,3.4
668.7,10.22,5,1.2,6.4,6.2
695.1,19.48,3,1.1,9.2,3.3
743.8,5.4,4,1,6.5,6.1
797.4,0.11,5,1.9,12.1,4.1
539.2,251.4,3,1.1,6.3,5.6
683.3,2.42,5,1.4,8.6,5.7
621.1,96.11,5,1,6,6.6
595.6,280.59,3,1,7.6,1.5
675.9,4.76,4,1,6.6,4.5
690.5,8.23,4,1.65,12.2,3.1
656.9,12.38,6,1.35,6.7,6.7
645.9,53.74,5,1,6.1,3.4
626.7,230.61,5,1.3,8.1,2.1
626.2,21.55,4,1,6.8,6.3
580,7958.35,2,1.15,5.1,1.5
720.3,0.47,5,1.8,11.2,4.4
691.4,141.3,5,1.25,7,2.3
715,0.33,5,1.6,11.1,3.9
740.1,3.24,6,1.45,7.2,6
637.5,54.82,4,1.5,6.3,5
697,53.93,6,1.45,7.1,4.1
741.1,0.02,4,1.7,8.7,5.9
600.7,17.81,6,1.8,6,6.3
674.2,6.17,4,1.85,6.4,6.5
725.2,14.88,6,1.7,11.4,1.3
728.7,40.75,5,1.35,8.2,1.7
587.4,28.4,6,1.9,7.6,6.4
651.1,37.73,5,1.6,8.7,5
609.9,32.7,6,1.8,4,6.9
651.8,2.08,5,1.85,9.1,5.5
561.1,264.74,7,1.65,3.8,6.3
580.8,38.05,5,1.75,5.6,6.4
572.2,334.02,6,1.7,6.4,3
600.6,81.89,6,1.5,6.2,2.4
674.8,17.64,5,1.6,6.1,5.3
647.6,246.29,6,1.65,6.5,1.6
759.4,8.6,4,1.45,8.4,5.5
634.1,53.41,6,1.5,9.4,3.1
575.7,20.43,6,1.5,9.4,3.9
794.8,1.04,6,1.5,12.8,2.9
644.8,57.57,6,1.15,6.2,5.4
806.2,1.5,6,1.7,12.5,2.7
536.3,57.71,4,1.45,3.8,6.9
