ID,Name,Description,Contributors
AUNI,AUNI,,Annkathrin Wett
BATWA,BATWA,,Annkathrin Wett
KAM_KA_KE,KAM_KA_KE,,Annkathrin Wett
MASARWA_KAKIA,MASARWA_KAKIA,,Annkathrin Wett
NG_KE,NG_KE,,Annkathrin Wett
NU,NU,,André Müller
NU_EN,NU_EN,,Annkathrin Wett
VAAL_ORANGE,VAAL_ORANGE,,Tessa de Mol-van Valen
XOON,XOON,,André Müller
XOON_MASARWA,XOON_MASARWA,,André Müller
XOON_NUEN,XOON_NUEN,,André Müller
GWI,GWI,,André Müller
GXANA,GXANA,,André Müller
KHOEKHOEGOWAB,KHOEKHOEGOWAB,,Annkathrin Wett
KHWE,KHWE,,Agustina Carrizo
KORANA,KORANA,,Søren Wichmann and Viveka Velupillai
KUA,KUA,,Tessa de Mol-van Valen
KWADI,KWADI,,Zarina Molochieva
KXOE,KXOE,,Søren Wichmann and Viveka Velupillai
MASARWA_TATI,MASARWA_TATI,,Annkathrin Wett
NAMA,NAMA,,André Müller
NAMA_2,NAMA_2,,Annkathrin Wett
NARO,NARO,,Søren Wichmann and Viveka Velupillai
NARON,NARON,,Annkathrin Wett
PROTO_CENTRAL_KHOISAN,PROTO_CENTRAL_KHOISAN,,Julia Bischoffberger
PROTO_EAST_KHOE,PROTO_EAST_KHOE,,Julia Bischoffberger
PROTO_KHOE,PROTO_KHOE,,Julia Bischoffberger
PROTO_WEST_KHOE,PROTO_WEST_KHOE,,Julia Bischoffberger
HOAN_HUC,HOAN_HUC,,Tessa de Mol-van Valen
HOAN,HOAN,,André Müller
JUHOAN,JUHOAN,,Søren Wichmann and Viveka Velupillai
KAUEN,KAUEN,,Annkathrin Wett
KUNG,KUNG,,Oleg Belyaev
KUNG_EKOKA,KUNG_EKOKA,,Oleg Belyaev
O_KUNG,O_KUNG,,Oleg Belyaev
PROTO_NORTHERN_KHOISAN,PROTO_NORTHERN_KHOISAN,,Julia Bischoffberger
SANDAWE,SANDAWE,,André Müller
