ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
AUNI,Auni,,-24.0,21.5,huaa1248,nmn
BATWA,Batwa,,-29.0,26.0,xegw1238,xeg
KAM_KA_KE,Kam Ka Ke,,-31.0,21.0,xamm1241,xam
MASARWA_KAKIA,Masarwa Kakia,,-24.0,21.5,huaa1248,nmn
NG_KE,Ng Ke,,-26.0,21.0,nuuu1241,ngh
NU,Nu,,-26.0,21.0,nuuu1241,ngh
NU_EN,Nu En,,-24.0,21.5,huaa1248,nmn
VAAL_ORANGE,Vaal Orange,,-26.65,28.61,vaal1235,gku
XOON,Xoon,,-24.0,21.5,huaa1248,nmn
XOON_MASARWA,Xoon Masarwa,,-19.35,22.83,huaa1248,nmn
XOON_NUEN,Xoon Nuen,,-21.68,22.17,huaa1248,nmn
GWI,Gwi,,-22.67,21.75,gwii1239,gwj
GXANA,Gxana,,-22.17,23.33,gana1274,gnk
KHOEKHOEGOWAB,Khoekhoegowab,,-25.5,18.0,nama1264,naq
KHWE,Khwe,,-17.5,22.5,kxoe1243,xuu
KORANA,Korana,,-29.5,20.5,kora1292,kqz
KUA,Kua,,-22.02,26.02,kuaa1238,tyu
KWADI,Kwadi,,-16.27,12.3,kwad1244,kwz
KXOE,Kxoe,,-17.5,22.5,kxoe1243,xuu
MASARWA_TATI,Masarwa Tati,,-22.5,26.0,tsoa1238,hio
NAMA,Nama,,-25.5,18.0,nama1264,naq
NAMA_2,Nama 2,,-25.5,18.0,nama1264,naq
NARO,Naro,,-22.5,20.5,naro1249,nhr
NARON,Naron,,-22.33,20.5,naro1249,nhr
PROTO_CENTRAL_KHOISAN,Proto Central Khoisan,,,,,
PROTO_EAST_KHOE,Proto East Khoe,,,,,
PROTO_KHOE,Proto Khoe,,,,,
PROTO_WEST_KHOE,Proto West Khoe,,,,,
HOAN_HUC,Hoan Huc,,-25.5,25.0,hoaa1235,huc
HOAN,Hoan,,-23.92,24.95,,
JUHOAN,Juhoan,,-19.0,21.0,juho1239,ktz
KAUEN,Kauen,,-21.33,21.75,juho1239,ktz
KUNG,Kung,,-19.67,18.0,kung1261,knw
KUNG_EKOKA,Kung Ekoka,,-19.67,18.0,kung1261,knw
O_KUNG,O Kung,,-17.0,18.75,vase1234,vaj
PROTO_NORTHERN_KHOISAN,Proto Northern Khoisan,,,,,
SANDAWE,Sandawe,,-5.0,35.0,sand1273,sad
HADZA,Hadza,,-3.75,35.17,hadz1240,hts
AWAK,Awak,,9.87,11.33,awak1250,awo
BALI_NIGERIA,Bali Nigeria,,8.82,11.3,bali1245,bcn
BESME,Besme,,9.58,16.08,besm1235,bes
BON_GULA,Bon Gula,,10.42,19.5,bong1282,glc
BUA,Bua,,10.0,18.0,buaa1245,bub
BURAK,Burak,,9.5,11.08,bura1271,bys
DADIYA,Dadiya,,9.58,11.33,dadi1249,dbd
DAMA,Dama,,8.67,14.33,dama1267,dmm
DAY,Day,,8.75,17.83,dayy1236,dai
DIJIM_BWILIM,Dijim Bwilim,,9.68,11.52,diji1241,cfa
DOOHWAAYAAYO,Doohwaayaayo,,8.67,13.08,doya1240,dow
DULI,Duli,,9.11,13.42,duli1241,duz
FALI,Fali,,9.33,13.5,sout2782,fal
GALKE,Galke,,8.08,14.33,ndai1238,gke
GENGLE,Gengle,,9.33,12.5,geng1243,geg
GOUNDO,Goundo,,9.5,16.25,goun1238,goy
GULA_IRO,Gula Iro,,10.25,19.42,gula1265,glj
KAAN,Kaan,,9.71,12.15,kaan1247,ldl
KALI,Kali,,6.67,16.33,kare1338,kbn
KAM_NIGERIA,Kam Nigeria,,8.04,10.89,kamm1249,kdx
KARANG,Karang,,7.67,15.0,kara1478,kzr
KIM,Kim,,9.92,15.92,kimm1246,kia
KO,Ko,,8.0,15.5,kuoo1238,xuo
KOKE,Koke,,10.75,18.33,koke1240,kou
KPASHAM,Kpasham,,8.75,11.25,kpas1242,pbn
KUGAMA,Kugama,,8.92,12.13,kuga1239,kow
KUMBA,Kumba,,8.83,12.0,kumb1238,ksm
KWA_NIGERIA,Kwa Nigeria,,9.42,11.44,kwaa1262,kwb
LEELAU,Leelau,,9.29,11.16,leel1242,ldk
LONGTO,Longto,,8.33,13.08,long1387,wok
LONGUDA,Longuda,,9.75,11.83,long1389,lnu
LOO,Loo,,9.41,11.05,looo1238,ldo
LUA_NIELLIM,Lua Niellim,,9.75,17.75,niel1243,nie
MAMBAI,Mambai,,9.5,13.92,mamb1294,mcs
MBUM,Mbum,,7.75,13.17,mbum1254,mdd
MOMI,Momi,,9.0,12.75,momj1237,ver
MUNDANG,Mundang,,9.67,14.5,mund1325,mua
NDOK_MBALI,Ndok Mbali,,8.07,15.12,kara1478,kzr
NGOUMI,Ngoumi,,7.68,15.37,nzak1246,nzy
NIGERIAN_BENA,Nigerian Bena,,9.75,12.4,bena1260,yun
NJAK_MBAI,Njak Mbai,,7.67,15.75,nzak1246,nzy
NORTH_FALI,North Fali,,9.92,13.66,nort2770,fll
NOY,Noy,,9.42,17.91,noyy1238,noy
NYONG,Nyong,,5.92,10.42,nyon1241,muo
PAM,Pam,,8.0,14.33,pamm1242,pmn
PANGSENG,Pangseng,,8.0,10.5,pang1286,pgs
PAPE,Pape,,8.39,13.4,dugu1248,ndu
PEERE,Peere,,7.75,12.42,peer1241,pfe
RANG,Rang,,8.0,10.5,rang1269,rax
SAMBA_LEKO,Samba Leko,,8.5,12.5,samb1305,ndi
TEME,Teme,,8.75,11.38,teme1252,tdo
TULA,Tula,,9.85,11.53,tula1252,tul
TUNIA,Tunia,,9.42,18.17,tuni1251,tug
TO,To,,7.58,15.27,tooo1238,toz
TUPURI,Tupuri,,10.17,14.75,tupu1244,tui
WAJA,Waja,,10.0,11.67,waja1259,wja
WAKA,Waka,,8.78,11.5,waka1275,wav
WOM_AFRICA,Wom Africa,,8.93,12.45,womn1235,wom
YAG_DII,Yag Dii,,8.0,14.0,diii1241,dur
YANDANG,Yandang,,9.0,12.07,yend1241,ynq
YOTI,Yoti,,9.0,12.97,yott1234,yot
ZAN_GULA,Zan Gula,,10.59,19.14,zang1249,zna
AKUNNU,Akunnu,,7.58,5.92,akpe1248,ibe
A51_BAFIA_MAJA,A51 Bafia Maja,,5.1,11.2,lefa1242,lfa
A51_BAFIA_TUMI_TINGON,A51 Bafia Tumi Tingon,,5.1,11.2,lefa1242,lfa
A51_BAFIA_ZAKAAN,A51 Bafia Zakaan,,5.1,11.2,lefa1242,lfa
A53_BAFIA_RIKPA,A53 Bafia Rikpa,,5.0,11.17,bafi1243,ksf
A54_BAFIA_NJANTI,A54 Bafia Njanti,,5.3,11.3,tibe1274,ngy
A60_GUNU,A60 Gunu,,4.58,11.25,nugu1242,yas
A60_MMAALA,A60 Mmaala,,4.5,11.08,mmaa1238,mmu
A61_NGORO_ASOM,A61 Ngoro Asom,,4.58,11.5,tuki1240,bag
A62_KALONGE,A62 Kalonge,,4.43,11.08,yang1293,yav
A72a_EWONDO,A72a Ewondo,,4.0,12.0,ewon1239,ewo
ABAR,Abar,,6.58,10.25,abar1238,mij
ABON,Abon,,6.91,10.88,abon1238,abo
AFI_AMANDA,Afi Amanda,,6.8,10.95,batu1255,btu
AGHEM_ISU,Aghem Isu,,6.67,10.0,aghe1239,agq
AGHEM_WEH,Aghem Weh,,6.67,10.0,aghe1239,agq
AGHEM_WUM,Aghem Wum,,6.67,10.0,aghe1239,agq
AKWA,Akwa,,-0.25,15.85,akwa1248,akw
ALINGA,Alinga,,4.75,10.67,tune1261,tvu
AMASI,Amasi,,6.0,9.58,mant1267,myg
AMBELE_2,Ambele 2,,5.92,9.67,ambe1247,ael
AMBELE,Ambele,,5.92,9.67,ambe1247,ael
AUSHI,Aushi,,-11.0,29.0,aush1241,auh
AWING,Awing,,5.87,10.28,awin1248,azo
B11c_GALWA_1,B11c Galwa 1,,-1.25,9.5,myen1241,mye
B11c_GALWA_2,B11c Galwa 2,,-1.25,9.5,myen1241,mye
B25_KOTA_2,B25 Kota 2,,0.0,12.5,kota1274,koq
B312_HIMBA,B312 Himba,,-16.5,13.75,zemb1238,dhm
B414_VARAMA,B414 Varama,,-2.5,10.75,bara1362,bbg
B41_SHIRA,B41 Shira,,-1.75,10.5,sira1266,swj
B42_SANGU_2,B42 Sangu 2,,-1.5,11.83,sang1333,snq
B431_VUNGU,B431 Vungu,,-2.5,11.33,punu1239,puu
B44_LUMBU_YI_BANDA,B44 Lumbu Yi Banda,,-3.0,10.58,lumb1249,lup
B63_NDUUMO_KUYA,B63 Nduumo Kuya,,-1.67,13.58,ndum1239,nmd
B70_TEKE_OMVULA,B70 Teke Omvula,,-3.67,15.33,teke1274,ifm
B77a_KUKUYA_1,B77a Kukuya 1,,-2.33,14.5,teke1280,kkw
B77a_KUKUYA_2,B77a Kukuya 2,,-2.33,14.5,teke1280,kkw
B78_IWUM_WUUMBU_SUD_TEKE,B78 Iwum Wuumbu Sud Teke,,-3.67,15.33,teke1274,ifm
B85d_TSONG,B85d Tsong,,-4.67,18.08,song1299,soo
B86_DZING_BISEY,B86 Dzing Bisey,,-4.33,19.5,ding1239,diz
B871_MPIIN_2,B871 Mpiin 2,,-5.17,19.33,mpuo1241,zmp
B87_MBUUN_LABAEMPI,B87 Mbuun Labaempi,,-5.17,19.33,mpuo1241,zmp
B87_MBUUN_MWILANBONG,B87 Mbuun Mwilanbong,,-5.17,19.33,mpuo1241,zmp
BABANKI,Babanki,,6.08,10.32,baba1266,bbk
BABA,Baba,,6.12,10.52,baba1264,bbw
BABANGO,Babango,,1.79,23.59,baba1263,bbm
BABOLE_DZEKE,Babole Dzeke,,1.08,17.25,dibo1245,bvx
BABOLE_IMPFONDO,Babole Impfondo,,1.08,17.25,dibo1245,bvx
BABONG,Babong,,5.3,9.5,baka1273,bqz
BABUNGO,Babungo,,6.12,10.42,veng1238,bav
BADA,Bada,,9.6,9.94,bada1258,bau
BAFANJI,Bafanji,,5.85,10.45,bafa1249,bfj
BAFAW,Bafaw,,4.7,9.47,bafa1247,bwt
BAFIA_ROPE,Bafia Rope,,5.0,11.17,bafi1243,ksf
BAFIA,Bafia,,4.73,11.13,bafi1243,ksf
BAFUT,Bafut,,6.25,9.92,bafu1246,bfd
BAKAKA,Bakaka,,4.8,9.88,baka1273,bqz
BAKOKO,Bakoko,,3.5,10.0,bako1249,bkh
BAKOLE,Bakole,,4.44,8.97,bako1250,kme
BAKOSSI,Bakossi,,4.8,9.62,akoo1248,bss
BAKUERI,Bakueri,,4.25,9.25,mokp1239,bri
BALEP,Balep,,6.08,8.67,ndoe1238,nbb
BALO,Balo,,6.13,9.69,balo1264,bqo
BALONDO,Balondo,,4.83,9.98,baka1273,bqz
BAMBALANG,Bambalang,,5.86,10.54,bamb1265,bmo
BAMBILI,Bambili,,6.12,10.2,bamb1266,baw
BAMBOMBA_EPENA,Bambomba Epena,,1.67,17.5,bomi1238,zmx
BAMENYAM,Bamenyam,,5.75,10.33,bame1260,bce
BAMILEKE,Bamileke,,5.42,10.08,yemb1246,ybb
BAMUKUMBIT,Bamukumbit,,5.87,10.35,bamu1254,bqt
BAMWE,Bamwe,,2.17,19.16,bamw1238,bmg
BANEKA,Baneka,,4.9,9.93,baka1273,bqz
BANGALA,Bangala,,2.87,27.67,bang1353,bxg
BANGOLAN,Bangolan,,6.01,10.67,bang1356,bgj
BANGUBANGU_KABAMBARE,Bangubangu Kabambare,,-6.0,28.0,bang1350,bnx
BANGUBANGU,Bangubangu,,-6.0,28.0,bang1350,bnx
BANKALA,Bankala,,9.5,10.5,,jjr
BANKON,Bankon,,4.42,9.58,bank1256,abb
BAROMBI,Barombi,,4.65,9.25,baro1252,bbi
BASAA,Basaa,,3.92,10.5,basa1284,bas
BAS_KENYANG,Bas Kenyang,,5.67,9.5,keny1279,ken
BATANGA,Batanga,,3.0,10.0,bata1285,bnm
BATANGA_BALUNDU,Batanga Balundu,,5.0,9.17,orok1266,bdu
BATU_ANWE,Batu Anwe,,6.83,11.0,batu1255,btu
BEBA,Beba,,6.32,9.74,beba1238,bfp
BEEMBE,Beembe,,-3.92,14.08,beem1239,beq
BEKWIL,Bekwil,,1.67,14.33,bekw1242,bkw
