word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
handkerchief,7,h{Nk@JIf,8,7.22,2,3.21,5,Noun,,English,NA,3.450980392,1.80E-05,8,1530,1530,470,470,1530,,6-810,handkerchief,kercher,fihl,4,C
bicycle,7,b2sIkP,6,4.26,2,3.92,4.89,Noun,,English,NA,3.450980392,0.009532476,6,#N/A,#N/A,#N/A,#N/A,1868,,,,,,NA,Z
radio,5,r1dI5,5,5.17,2,4.82,4.74,Noun,Latin contact,Latin,radius,4.833333333,0.207542494,6,1913,1913,87,87,1913,Replacement,,,,,NA,Z
television,5,tElIvIZH,8,4.11,4,4.87,4.83,Noun,None,Greek,t€Òle,5.388888889,0.184721857,4,1907,1907,93,93,1907, and coined in Britain from classical roots,,,,,NA,C
grass-skirt,5,gr{ssk3t,8,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,1.80E-05,8,1898,1898,102,102,1898,,6-461,grass-skirt,,,NA,C
motorcycle,5,m5t@s2kP,8,5.05,2,3.55,4.97,Noun,None,Greek,kÌ_klos,5.388888889,0.147777485,6,1896,1896,104,104,1896,,,,,,NA,C
aeroplane,5,8r@pl1n,7,3.94,NA,3.86,4.96,Noun,Latin contact,Latin,a€Òr + pl€Ånus,4.833333333,3.03E-06,12,1866,1866,134,134,1866,Insertion,,,,,NA,C
billy-goat,5,bIlIg5t,7,#N/A,NA,#N/A,#N/A,Noun,None,English,NA,3.450980392,0.009532476,7,1861,1861,139,139,1861,,3-370,he-goat,bukke,bucca,5,O
stingy,5,stIn_I,6,7.78,6,3.02,2,Adjective,None,English,NA,3.450980392,0.009532476,6,1849,1849,151,151,1849,,11-540,avaricious,averous,feohgeorn,9,O
telephone,5,tElIf5n,7,4.63,2,4.32,4.96,Noun,Greek contact,Greek,t€Òle + phÅçn€Ò,5.388888889,0.002501974,12,1835,1835,165,165,1835,Insertion,,,,,NA,Z
lunch,5,lVnJ,4,3.61,2,4.72,4.31,Noun,None,English,NA,3.450980392,0.324104167,4,1829,1829,171,171,1829,,5-430,lunch,non-shench,no’‹nmete,7,Z
ridgepole,5,rI_p5l,6,14,12,#N/A,#N/A,Noun,Latin contact,Latin,p€Ålus,4.833333333,0.322843879,5,1788,1788,212,212,1788,Coexistence,7-530,ridgepole,bem,first,5,C
donkey,5,dQNkI,5,6,2,3.99,5,Noun,None,English,NA,3.450980392,0.095324755,5,1785,1785,215,215,1785,,3-460,ass,asse,assa,4,M
screwdriver,5,skrudr2v@R,10,6,4,3.34,4.9,Noun,None,English,NA,3.450980392,4.96E-10,10,1779,1779,221,221,1779,,,,,,NA,C
livestock,5,l2vstQk,7,7.89,4,3.75,4.7,Noun,None,English,NA,3.450980392,0.009532476,7,1775,1775,225,225,1775,,3-150,livestock,fe,ce’‹ap,4,C
sniff,5,snIf,4,6.16,2,3.87,4.17,Verb,None,English,NA,3.450980392,0.324104167,4,1767,1767,233,233,1767,,15-212,sniff,sniffen,to’‹stincan(?),9,M
anteater,5,{ntit@R,7,8.5,4,2.98,4.86,Noun,None,English,NA,3.450980392,0.009532476,7,1764,1764,236,236,1764,,,,,,NA,C
eyelash,5,2l{S,4,5.8,2,2.79,5,Noun,None,English,NA,3.450980392,0.324104167,4,1752,1752,248,248,1752,,4-214,eyelash,her of eie-lid,bru’‹(?),3,C
fireplace,5,f2@pl1s,7,7.37,2,4.21,4.68,Noun,None,English,NA,3.450980392,0.009532476,7,1702,1702,298,298,1702,,7-310,fireplace,herth,heor‘Ÿ,5,C
glasses,5,gl#sIz,6,4.35,2,4.37,4.9,Noun,None,English,NA,3.450980392,0.009532476,6,1700,1700,300,300,1700,,,,,,NA,C
snowshoe,5,sn5Su,5,7.68,NA,1.9,4.67,Verb,None,English,NA,3.450980392,0.095324755,5,1674,1674,326,326,1674,,,,,,NA,C
homeland,5,h5ml{nd,7,9.35,4,3.46,3.45,Noun,None,English,NA,3.450980392,0.009532476,7,1670,1670,330,330,1670,,19-120,one's native country,contre’‹-e,e’‹‘Ÿel (e’‹‘Ÿelturf,12,C
newspaper,5,njusp1p@R,9,5.78,2,4.48,4.82,Noun,None,English,NA,3.450980392,1.51E-07,9,1667,1667,333,333,1667,,,,,,NA,C
firefly,5,f2@fl2,6,6.39,2,2.73,4.9,Noun,None,English,NA,3.450980392,0.009532476,6,1658,1658,342,342,1658,,3-910,firefly,noctiluca,,NA,C
axle,5,{ksP,4,10.85,4,2.93,4.5,Noun,None,English,NA,3.450980392,0.324104167,4,1634,1634,366,366,1634,,10-770,axle,ax-e,eax,3,M
herdsman,5,h3dzm@n,7,9.61,4,2.06,4.11,Noun,None,English,NA,3.450980392,0.009532476,7,1603,1603,397,397,1603,,3-180,herdsman,herd-e,hirde,5,C
squeeze,5,skwiz,5,5.42,2,4.36,3.75,Verb,None,English,NA,3.450980392,0.095324755,5,1601,1601,399,399,1601,,9-343,squeeze,quisen,wringan,7,M
hurry,5,hVrI,4,4.44,2,4.53,2.63,Verb,None,English,NA,3.450980392,0.324104167,4,1600,1600,400,400,1600,,14-230,hasten,hien,racian,6,M
puke,5,pjuk,4,6.94,8,3.03,4.59,Verb,None,English,NA,3.450980392,0.324104167,4,1600,1600,400,400,1600,,4-570,vomit,speuen,spi’‹wan,6,M
grandchild,5,gr{nJ2ld,8,5.26,2,3.25,4.26,Noun,French contact,French,grand,3.5,0.13454128,5,1587,1587,413,413,1587,Replacement,,,,,NA,C
stocking,5,stQkIN,6,6.68,2,3.37,4.86,Noun,None,English,NA,3.450980392,0.009532476,6,1583,1583,417,417,1583,,6-490,stocking,hose,hosu,4,O
hiccough,5,hIkQf,5,10.2,12,3.28,4.31,Noun,None,English,NA,3.450980392,0.095324755,5,1580,1580,420,420,1580,,4-521,hiccough,yexen,su’‹gan,5,C
stutter,5,stVt@R,6,8.78,4,2.78,3.97,Verb,None,English,NA,3.450980392,0.009532476,6,1570,1570,430,430,1570,,18-211,stutter,stutten,stamerian,9,M
shark,5,S#k,3,5.47,4,4.17,4.93,Noun,None,English,NA,3.450980392,0.390831496,3,1569,1569,431,431,1569,,3-661,shark,shark,,NA,M
hug,5,hVg,3,2.58,2,4.13,4.14,Noun,None,English,NA,3.450980392,0.390831496,3,1567,1567,433,433,1567,,16-300,embrace,embracen,clyppan,7,M
splash,5,spl{S,5,3.67,2,4.13,4.19,Noun,None,English,NA,3.450980392,0.095324755,5,1565,1565,435,435,1565,,10-352,splash,plash-e,,NA,Z
workshop,5,w3kSQp,6,7.78,4,4.01,4.54,Noun,None,English,NA,3.450980392,0.009532476,6,1562,1562,438,438,1562,,,,,,NA,C
collarbone,5,kQl@b5n,7,8.89,4,2.8,4.85,Noun,None,English,NA,3.450980392,0.009532476,7,1550,1550,450,450,16th century,,4-302,collarbone,furcle,wi‘Ÿoba’‹n,7,C
dandruff,5,d{ndrVf,7,10.74,4,2.75,4.79,Noun,None,English,NA,3.450980392,0.009532476,7,1545,1545,455,455,1545,,4-146,dandruff,scales,,NA,M
fog,5,fQg,3,6.21,4,4.08,4.66,Noun,None,English,NA,3.450980392,0.390831496,3,1544,1544,456,456,1544,,1-740,fog,mist,mist,4,Z
stamp,5,st{mp,5,6.33,2,4.2,4.7,Noun,None,English,NA,3.450980392,0.095324755,5,1542,1542,458,458,1542,,,,,,NA,M
jug,5,_Vg,3,5.83,2,4.06,4.96,Noun,None,English,NA,3.450980392,0.390831496,3,1538,1538,462,462,1538,,5-340,pitcher,picher-e,croc,4,Z
