age_score,analyzability,borrowed,borrowed_score,description,id,jsondata,language_pk,markup_description,name,pk,simplicity_score
,,,,to accuse,92181432125352379-1,{},123,,accuser,67762,
,,,,to accuse,9361026888773387-1,{},96,,accusare,74361,
,,,,to acquit,9218143238626268-1,{},125,,aquiter,66454,
,,,,"to acquit, settle a debt or dispute",92181432882123045-1,{},96,,*acquitāre,69783,
,,,,address,92181432501536549-1,{},123,,adresse,60832,
,,,,"‘at, to’ + ‘straight’",92181432712519576-1,{},96,,*ad + dīrectus,69825,
,,,,"‘to sit in judgment’, from iudex ‘judge’",92181432570011568-1,{},96,,adiudicāre,66448,
,,,,to admit,92181432396502675-1,{},123,,admettre,66391,
,,,,to send on,92181432731412126-1,{},96,,admittere,69731,
,,,,to daub,92181432430322921-1,{},115,,adobar,66164,
,,,,plaster,92181432536065451-1,{},101,,ţob,69589,
,,,,adultery,92181432342868199-1,{},125,,avouterie,66459,
,,,,adulterer,92181432309973738-1,{},96,,adulter,69786,
,,,,"‘air’ + ‘flat, plane’",92181432580835155-1,{},96,,aēr + plānus,66483,
,,,,age,92181432912437668-1,{},123,,âge,66313,
,,,,"age, era",92181432521872924-1,{},96,,aevum,69679,
,,,,air,92181432275025488-1,{},123,,air,65974,
,,,,air,92181432322114100-1,{},147,,aēr,69468,
,,,,alcohol,92181432149215388-1,{},123,,alcool,66121,
,,,,"‘collyrium’, powder with which to paint the eyes",92181432415446608-1,{},53,,al-koħl,69555,
,,,,“the lizard”,92181432481506080-1,{},115,,el lagarto,69901,
,,,,to permit,92181432930285966-1,{},125,,alouer,66413,
,,,,"‘to allocate’, ‘to commend’",92181432429730474-1,{},96,,"allocāre, allaudāre",69752,
,,,,"‘altar’, literally ‘high spot’",92181432488833938-1,{},96,,altāre,66465,
,,,,ambush,92181432136925914-1,{},125,,embusche,66442,
,,,,to be waiting in the woods,92181432636410413-1,{},194,,*imboscāre,69775,
,,,,ancestor,92181432266728303-1,{},124,,ancestre,65999,
,,,,someone who goes before,92181432504116967-1,{},96,,"antecēssor, -em",69484,
,,,,anchor,92181432346732179-1,{},96,,anchora,66247,
,,,,anchor,92181432436594370-1,{},147,,ánkūra,69639,
,,,,grief,92181432290466086-1,{},257,,angr,66346,
,,,,"‘of a beast’, originally ‘of someone having a spirit’",9218143244841013-1,{},96,,animālis,66008,
,,,,to announce,92181432257430432-1,{},124,,anoncer,66396,
,,,,"‘to announce’, from nuntius ‘herald’",92181432816708578-1,{},96,,annunciāre,69734,
,,,,"‘anxiety’, from angere ‘to choke’",92181432975396325-1,{},96,,"anxietā-s, -tem",66343,
,,,,to come close,9218143212716740-1,{},124,,aprochier,66238,
,,,,‘to come close’ (prope ‘near’),92181432926866998-1,{},196,,appropiāre,69636,
,,,,arch,92181432900541080-1,{},123,,arche,66161,
,,,,bow,92181432831833669-1,{},96,,arcum,69585,
,,,,armour,92181432952473824-1,{},124,,armure,66431,
,,,,thing with which one is armed,92181432510033759-1,{},194,,armātūra,69765,
,,,,"well, hole",92181432862340842-1,{},96,,put(t)eus,66076,
,,,,army,92181432114816270-1,{},123,,armée,66426,
,,,,armed force,92181432932653377-1,{},96,,armāta,69762,
,,,,to arrive,92181432511402779-1,{},123,,arriver,66237,
,,,,‘to come to the shore of somewhere’ (literally),92181432491845493-1,{},96,,*adrīpāre,69635,
,,,,arson,92181432479119147-1,{},123,,arson,66461,
,,,,burning,92181432921609208-1,{},96,,"arsiō, -nem",69788,
,,,,artery,92181432366764583-1,{},96,,artēria,66067,
,,,,artery,9218143274744232-1,{},147,,artēria,69519,
,,,,to astound,92181432997824699-1,{},124,,estoner,66338,
,,,,"to thunder, sound out",92181432981838732-1,{},194,,*ex-tonāre,69695,
,,,,to attack,9218143230278375-1,{},123,,attaquer,66435,
,,,,to attack,92181432938496617-1,{},169,,attaccare,69770,
,,,,aunt,92181432572630017-1,{},125,,aunte,65995,
,,,,"‘aunt’, literally ‘little grandmother’",92181432823312122-1,{},96,,amita,69480,
,,,,autumn,92181432134691205-1,{},123,,automne,66322,
,,,,autumn,92181432215974975-1,{},96,,autumnus,69683,
,,,,baby,9218143222747653-1,{},373,,baban,65989,
,,,,bag,92181432300906941-1,{},257,,baggi,66511,
,,,,a bite,92181432426442290-1,{},257,,beita,66443,
,,,,ball,92181432883332261-1,{},257,,böllr,66303,
,,,,bamboo,9218143222572239-1,{},12,,bamboes,66193,
,,,,bamboo,92181432721967704-1,{},180,,banvu,69611,
,,,,banana,9218143221000148-1,{},274,,banana,66189,
,,,,banana,92181432345228711-1,{},379,,banana,69607,
,,,,bank (financial institution),92181432662880758-1,{},123,,banque,60824,
,,,,bench,92181432856769972-1,{},99,,*bank-,69815,
,,,,Indian merchant,92181432680087883-1,{},274,,banian,66190,
,,,,merchant,92181432846733647-1,{},251,,vaņij,69608,
,,,,tree bark,92181432694130135-1,{},257,,börkr,66185,
,,,,to cheat,92181432160978416-1,{},123,,barater,66275,
,,,,bat,92181432299103948-1,{},216,,bakka,66025,
,,,,to beat,9218143244551789-1,{},124,,batre,66506,
,,,,to beat,92181432894648640-1,{},96,,battuere,69824,
,,,,battle,92181432652152192-1,{},123,,bataille,66424,
,,,,"‘fight, military engagement’ (battuere ‘to fight’)",92181432366216438-1,{},194,,battuālia,66444,
,,,,bay,92181432951832907-1,{},123,,baie,65967,
,,,,bay,92181432764483102-1,{},96,,baia,69465,
,,,,beak,92181432365464926-1,{},123,,bec,66075,
,,,,beak,92181432745979620-1,{},96,,beccus,69523,
,,,,beauty,92181432629578271-1,{},124,,biaute,66360,
,,,,‘beauty’ from bellus ‘beautiful’,92181432291204909-1,{},194,,"*bellitā-s, -tis",69711,
,,,,cause,92181432110440259-1,{},96,,"causa, earlier caussa",66380,
,,,,‘name of a lay mendicant order ‘,92181432248182216-1,{},123,,Beguinard,66267,
,,,,belt,92181432528538388-1,{},96,,balteus,68251,
,,,,silent,92181432720972815-1,{},96,,"silen-s, -tem",66388,
,,,,to hand over,92181432231471035-1,{},124,,trair,66383,
,,,,to betray,92181432287295227-1,{},96,,tradere,67642,
,,,,wheel,92181432389569846-1,{},147,,kúklos,66505,
,,,,"proclamation, document",92181432140055728-1,{},124,,bille,66270,
,,,,proclamation,92181432402180095-1,{},96,,bulla,69652,
,,,,certificate,92181432448155305-1,{},123,,certificat,66495,
,,,,"‘what has been certified’, ultimately from cernere ‘to sift’.",92181432483936083-1,{},96,,certificātum,69810,
