ID,Language_ID,Language_name,Parameter_ID,Parameter_name,WOLD_Meaning_ID,Value,Source,Comment,Word_ID,Borrowed,Borrowed_score,Analyzability,Simplicity_score,age,contact_situation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source
35621,oldh1241,Old High German,965,the world,1-1,weralt,,,7412137134239049,5. no evidence for borrowing,0.0,analyzable compound,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,Mann-Alter,noun,,,,,,,,,,,
35622,oldh1241,Old High German,626,the land,1-21,lant,,,76191057575282273,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35623,oldh1241,Old High German,1228,the soil,1-212,bodam,,,74121335492440374,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35624,oldh1241,Old High German,2,the dust,1-213,stoub,,,74121336180369259,5. no evidence for borrowing,0.0,unanalyzable,1.0,Late-West-Germanic,None,Late-West-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35625,oldh1241,Old High German,671,the sand,1-215,sant,,,74121339754743897,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35626,oldh1241,Old High German,2118,the mountain or hill,1-22,berg,,,7412134138472211,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35627,oldh1241,Old High German,618,the cliff or precipice,1-222,kleb,,,74121343471431728,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35628,oldh1241,Old High German,652,the plain,1-23,ebanî,,,74121344294385809,5. no evidence for borrowing,0.0,analyzable derived,0.5,Pre-Old-High-German,None,Pre-Old-High-German,,0. No evidence for calquing,,,,,,eban-î [eban-NMLZ],noun,,,,,,,,,,,
35629,oldh1241,Old High German,921,the valley,1-24,tal,,,74121348759852115,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35630,oldh1241,Old High German,622,the island,1-25,isila,,,74121349626297813,1. clearly borrowed,1.0,unanalyzable,1.0,801-900,Latin to Old High German,801-900,,0. No evidence for calquing,,,,Insertion,,,noun,1. Highly integrated,,,,,,,,,Present in pre-contact environment,
35631,oldh1241,Old High German,1155,the cave,1-28,holî,,,7412140247620239,5. no evidence for borrowing,0.0,analyzable derived,0.5,Pre-Old-High-German,None,Pre-Old-High-German,,0. No evidence for calquing,,,,,,hol-NMLZ,noun,,,,,,,,,,,
35632,oldh1241,Old High German,948,the water,1-31,wazzar,,,741214194856875,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35633,oldh1241,Old High German,1474,the sea,1-32,meri,,,74121410230852328,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35634,oldh1241,Old High German,258,calm,1-322,stilli,,,76121111371838715,5. no evidence for borrowing,0.0,unanalyzable,1.0,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,,adj.,,,,,,,,,,,
35635,oldh1241,Old High German,259,rough(2),1-323,rûh,,,74121414789742690,5. no evidence for borrowing,0.0,unanalyzable,1.0,Pre-Proto-Germanic,None,Pre-Proto-Germanic,,0. No evidence for calquing,,,,,,,adjective,,,,,,,,,,,
35636,oldh1241,Old High German,1768,the foam,1-324,scûm,,,74121415338082319,5. no evidence for borrowing,0.0,unanalyzable,1.0,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35637,oldh1241,Old High German,624,the lake,1-33,sêo,,,741214176382348,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Indo-European,None,Proto-Indo-European,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35638,oldh1241,Old High German,978,the wave,1-35,wella,,,7412142127304779,5. no evidence for borrowing,0.0,unanalyzable,1.0,Proto-Germanic,None,Proto-Germanic,,0. No evidence for calquing,,,,,,,noun,,,,,,,,,,,
35639,oldh1241,Old High German,891,the tide,1-352,gizît,,,74121422885287749,5. no evidence for borrowing,0.0,analyzable compound,0.5,West-Germanic,None,West-Germanic,,,,semantically calqued,,,,ge-Zeit,noun,,,,,,,,,,,
35640,oldh1241,Old High German,1026,the low tide,1-353,ebbunga,,,86111131875844292,5. no evidence for borrowing,0.0,analyzable derived,0.5,West-Germanic,None,West-Germanic,,0. No evidence for calquing,,,,,,ebben+unga [unga NMLZ],noun,,,,,,,,,,,
