"PoS","mean","n","confint.lower","confint.upper"
"N",27.6190476190476,630,24.2712861834439,31.2380930034776
"ADJ",14.4230769230769,104,8.93960769945737,22.4411425155055
"WW",4.59183673469388,196,2.43430871251896,8.49508449226702
"SPEC",7.14285714285714,14,1.27222152478909,31.4687044241511
"VZ",6.25,16,1.11193447646425,28.3287375702989
"TW",5.55555555555556,18,0.987519097830307,25.7573007818726
"BW",4.34782608695652,23,0.771666614345313,20.9911550702589
"VG",0,5,3.13925294213494e-15,43.4482464783175
"LID",0,2,0,65.7619772493347
"TSW",0,2,0,65.7619772493347
"VNW",0,18,0,17.5879223646658
